COMUNA,REGION,URBANIDAD,FPAGO,TIPOBENEFICIO,COBROMARZO,SEXO,ECIVIL,NACIONALIDAD,NOCOBRO
107,13,2,1,16,0,2,1,0,0
140,11,2,3,16,1,1,5,0,0
106,11,2,3,16,1,2,5,0,0
58,4,2,0,16,0,1,1,0,1
181,5,2,3,16,0,2,1,0,1
115,11,2,1,16,0,2,1,0,0
128,11,2,1,16,0,1,1,0,0
58,4,2,3,14,0,1,1,0,0
277,12,2,1,17,0,2,1,0,1
255,11,2,3,16,1,1,1,0,0
16,0,2,3,16,0,2,5,0,0
39,15,2,3,16,0,2,1,0,0
230,9,2,3,16,0,1,1,0,1
300,11,2,3,16,0,1,5,0,1
11,1,2,3,16,1,1,1,0,1
307,6,2,3,14,0,2,5,0,0
230,9,2,1,16,0,2,1,0,0
121,5,2,3,16,0,2,1,0,0
223,7,2,3,14,0,1,1,0,0
85,11,2,1,16,0,2,1,0,0
294,12,1,3,16,0,1,1,0,0
128,11,2,1,16,0,1,1,0,0
300,11,2,3,16,0,1,5,0,0
327,14,2,1,16,0,1,1,0,0
63,5,2,1,16,0,2,5,0,0
300,11,2,3,16,0,2,1,0,0
58,4,2,3,16,1,1,1,0,0
336,11,2,3,16,0,1,5,0,0
112,11,2,1,16,0,2,1,0,0
128,11,2,3,14,0,1,5,0,0
285,11,2,1,16,1,1,1,0,1
294,12,1,3,14,0,2,1,0,0
220,11,2,3,16,0,1,1,0,0
115,11,2,3,14,0,2,1,0,0
157,11,2,3,16,0,2,1,0,1
220,11,2,3,14,0,1,1,0,0
155,11,2,3,14,0,1,1,0,0
1,11,0,4,14,1,2,1,0,0
249,11,2,3,16,0,1,1,0,0
155,11,2,3,14,0,2,3,0,0
11,1,2,3,16,0,1,5,0,1
245,14,2,3,16,0,1,5,0,1
285,11,2,3,16,0,1,1,0,0
320,2,2,3,16,0,1,5,0,0
336,11,2,1,16,0,2,1,0,0
307,6,2,1,16,0,1,1,0,0
128,11,2,1,16,0,2,1,0,0
321,14,2,3,16,0,1,5,0,0
81,14,1,1,16,1,1,5,0,1
67,6,1,4,14,0,1,1,0,1
118,14,1,3,16,0,2,1,0,0
58,4,2,1,16,0,2,1,0,0
245,14,2,3,14,0,1,1,0,0
285,11,2,3,14,0,1,1,0,1
115,11,2,3,16,0,1,1,0,1
115,11,2,3,16,0,1,1,1,0
125,11,2,4,14,0,2,5,0,1
300,11,2,3,16,1,2,1,0,0
300,11,2,3,16,0,1,1,0,0
249,11,2,3,16,1,1,1,0,1
216,11,2,1,16,0,1,1,0,0
128,11,2,1,16,1,1,1,0,1
216,11,2,3,16,0,1,5,0,0
300,11,2,3,16,0,2,1,0,0
285,11,2,3,16,0,1,1,0,1
251,15,0,3,14,0,1,5,0,0
321,14,2,3,16,1,1,1,0,0
32,11,2,3,14,0,1,5,0,1
74,10,2,3,16,1,2,1,0,0
330,14,2,3,16,0,1,5,0,0
100,4,2,3,14,0,1,5,0,0
87,6,1,3,14,1,2,1,0,0
138,11,2,1,16,0,2,5,0,0
216,11,2,1,16,0,1,1,0,0
63,5,2,1,17,1,1,1,0,1
106,11,2,3,16,0,1,1,0,0
8,0,2,3,16,1,1,1,0,0
67,6,1,3,16,0,1,1,0,0
304,10,2,1,17,0,1,5,0,0
329,11,2,1,16,0,1,1,0,1
32,11,2,3,14,0,2,3,0,1
130,6,1,1,16,0,2,1,0,0
58,4,2,3,16,0,1,1,0,1
100,4,2,3,16,0,1,5,0,0
270,14,2,3,16,0,1,1,0,1
220,11,2,3,16,0,2,1,0,0
223,7,2,3,14,0,1,1,0,1
271,11,2,3,16,0,1,1,0,0
139,11,2,3,14,0,2,5,0,1
271,11,2,3,16,0,2,5,0,1
304,10,2,3,16,0,1,5,0,0
305,4,2,1,16,0,2,1,0,0
336,11,2,3,16,0,1,1,0,1
18,2,1,5,16,0,2,5,0,1
276,14,2,3,16,0,1,1,0,0
220,11,2,1,16,0,1,1,0,0
252,12,2,3,14,0,2,5,0,0
216,11,2,1,16,0,1,1,0,0
14,14,1,5,16,0,2,1,0,1
128,11,2,1,16,0,1,1,0,0
205,11,2,3,14,0,1,1,0,0
106,11,2,3,16,1,1,1,0,0
255,11,2,3,14,0,1,1,0,1
300,11,2,3,16,0,1,1,0,0
216,11,2,3,16,0,1,5,0,0
107,13,2,3,16,1,1,1,0,1
157,11,2,3,16,0,1,1,0,0
7,6,2,3,14,0,2,1,0,1
155,11,2,3,16,0,2,1,0,0
11,1,2,3,16,0,1,5,0,0
80,11,1,3,14,1,2,1,0,0
11,1,2,3,16,0,1,5,0,0
180,7,2,3,16,1,2,1,0,0
226,6,0,5,14,0,2,1,0,1
300,11,2,3,16,0,1,1,0,0
245,14,2,3,16,0,1,1,0,0
107,13,2,3,14,0,1,1,0,0
8,0,2,3,16,0,1,5,0,0
246,14,2,3,16,0,1,1,0,1
8,0,2,3,14,0,1,1,0,0
285,11,2,3,16,0,1,5,0,1
285,11,2,3,16,0,2,5,0,0
300,11,2,3,16,0,1,1,0,1
39,15,2,3,16,0,1,5,0,0
223,7,2,0,16,1,1,1,0,1
230,9,2,3,16,1,1,1,0,1
58,4,2,3,16,0,1,1,0,0
193,10,1,1,17,1,1,1,0,1
301,14,1,1,17,1,2,1,0,1
230,9,2,3,16,0,1,1,0,0
74,10,2,3,16,1,1,1,0,0
336,11,2,1,16,0,1,5,0,0
115,11,2,3,16,1,2,1,0,0
140,11,2,3,16,0,1,5,0,0
121,5,2,1,16,0,1,5,1,1
220,11,2,1,16,1,1,1,0,1
249,11,2,3,16,1,1,1,0,0
329,11,2,1,16,1,2,1,0,0
106,11,2,3,16,0,1,1,0,0
128,11,2,1,16,0,2,3,0,1
300,11,2,3,16,0,1,1,0,0
300,11,2,3,16,0,1,5,0,1
336,11,2,1,16,0,1,1,0,0
80,11,1,1,17,0,1,1,0,1
121,5,2,3,16,0,2,1,0,1
106,11,2,3,16,0,2,1,0,0
336,11,2,1,16,0,1,1,0,0
246,14,2,3,16,0,1,1,0,0
128,11,2,3,14,0,1,5,0,1
216,11,2,1,16,1,1,5,0,0
115,11,2,3,14,0,1,1,0,0
128,11,2,1,16,1,1,1,0,1
85,11,2,3,16,0,1,1,0,0
246,14,2,3,16,0,1,1,0,0
245,14,2,3,14,0,1,1,0,0
330,14,2,3,16,0,2,5,0,1
223,7,2,3,14,1,2,1,0,0
180,7,2,3,16,0,1,1,0,0
166,11,2,3,16,0,1,5,0,1
321,14,2,3,16,0,1,5,0,0
246,14,2,1,16,1,1,1,0,1
8,0,2,3,16,0,2,1,0,1
258,12,2,3,14,0,1,1,0,0
39,15,2,3,16,0,1,1,0,0
122,8,1,3,16,0,1,1,0,1
257,11,2,3,14,1,1,1,0,0
41,12,1,3,16,0,2,1,0,0
106,11,2,3,16,0,1,1,0,0
58,4,2,3,14,1,1,5,0,0
146,14,2,3,16,0,1,1,0,0
8,0,2,3,16,1,1,5,0,0
330,14,2,3,14,0,2,5,0,1
7,6,2,3,16,1,1,1,0,1
285,11,2,1,16,0,2,5,0,0
300,11,2,3,16,0,1,5,0,0
285,11,2,1,16,0,1,1,0,0
321,14,2,3,16,1,1,1,0,1
300,11,2,1,16,1,1,5,0,0
121,5,2,3,7,0,1,1,0,1
204,11,2,3,16,1,1,5,0,0
63,5,2,3,16,0,1,1,0,1
330,14,2,1,16,0,1,1,0,0
319,8,2,4,16,0,2,1,0,1
330,14,2,3,16,0,1,5,0,1
157,11,2,3,16,1,1,1,0,0
115,11,2,3,16,0,1,1,0,0
300,11,2,1,16,0,2,1,0,0
115,11,2,1,16,0,1,1,0,0
285,11,2,3,16,1,1,1,0,1
300,11,2,3,16,0,1,1,0,0
